date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:46:58	133/133	---MCZ	200	added ('OK')	text/plain	etag:%2210870-1703387887;gz%22	https://maantradingacademy.com/robots.txt		(from )
19:47:01	513269/513269	---M-Z	200	added ('OK')	text/html	etag:%2210866-1703386554;gz%22	https://maantradingacademy.com/lp/	C:/My%20Web%20Sites/156/maantradingacademy.com/lp/index.html	(from )
19:47:06	65/65	---MC-	404	error ('File%20Not%20Found')	text/html	date:Mon,%2025%20Dec%202023%2015:47:41%20GMT	https://i0.wp.com/maantradingacademy.com/wp-content/uploads/2023/07/12-1-e1690288453926.jpg?fit=1920%2C1080&ssl=1	C:/My%20Web%20Sites/156/i0.wp.com/maantradingacademy.com/wp-content/uploads/2023/07/12-1-e1690288453926.049a2.delayed	(from https://maantradingacademy.com/lp/)
19:47:07	194679/194679	---M-Z	200	added ('OK')	text/css	etag:%222f877-654b5de3-4ce49830fdc3fc67;gz%22	https://maantradingacademy.com/wp-content/litespeed/ucss/56f89ff0dcbaa1fd974f9c92f2db4b05.css?ver=7d295	C:/My%20Web%20Sites/156/maantradingacademy.com/wp-content/litespeed/ucss/56f89ff0dcbaa1fd974f9c92f2db4b056eb1.css	(from https://maantradingacademy.com/lp/)
19:47:07	853/853	---M-Z	200	added ('OK')	text/css	etag:%22355-6538ae37-bf6985b18863dffb;gz%22	https://maantradingacademy.com/wp-content/plugins/phonepe-payment-solutions/style.css?ver=6.4.2	C:/My%20Web%20Sites/156/maantradingacademy.com/wp-content/plugins/phonepe-payment-solutions/style1e39.css	(from https://maantradingacademy.com/lp/)
19:47:08	144918/144918	---M-Z	200	added ('OK')	text/css	etag:%2223616-6589a419-89e86bfc6527f29;gz%22	https://maantradingacademy.com/wp-content/plugins/droit-elementor-addons/modules/widgets/widgets.css?ver=3.1.5	C:/My%20Web%20Sites/156/maantradingacademy.com/wp-content/plugins/droit-elementor-addons/modules/widgets/widgetsc6bd.css	(from https://maantradingacademy.com/lp/)
19:47:08	6032/6032	---M-Z	200	added ('OK')	text/css	etag:%221790-656a81b7-3ebc753d5406f1a8;gz%22	https://maantradingacademy.com/wp-content/plugins/droit-elementor-addons/assets/css/icons.min.css?ver=3.1.5	C:/My%20Web%20Sites/156/maantradingacademy.com/wp-content/plugins/droit-elementor-addons/assets/css/icons.minc6bd.css	(from https://maantradingacademy.com/lp/)
19:47:08	157/157	---M--	200	added ('OK')	text/css	etag:%229d-656a81b7-829f682484e04b8b;;;%22	https://maantradingacademy.com/wp-content/plugins/droit-elementor-addons/assets/css/editor-common.min.css?ver=3.1.5	C:/My%20Web%20Sites/156/maantradingacademy.com/wp-content/plugins/droit-elementor-addons/assets/css/editor-common.minc6bd.css	(from https://maantradingacademy.com/lp/)
19:47:08	2933/2933	---M-Z	200	added ('OK')	text/css	etag:%22b75-656a81b7-fb2ee938d7526a9c;gz%22	https://maantradingacademy.com/wp-content/plugins/droit-elementor-addons/assets/css/widget.min.css?ver=3.1.5	C:/My%20Web%20Sites/156/maantradingacademy.com/wp-content/plugins/droit-elementor-addons/assets/css/widget.minc6bd.css	(from https://maantradingacademy.com/lp/)
19:47:08	59653/59653	---M-Z	200	added ('OK')	text/css	etag:%22e905-656a81b7-a7df9f499a5dd417;gz%22	https://maantradingacademy.com/wp-content/plugins/droit-elementor-addons/assets/vendor/animation/animate.min.css?ver=3.1.5	C:/My%20Web%20Sites/156/maantradingacademy.com/wp-content/plugins/droit-elementor-addons/assets/vendor/animation/animate.minc6bd.css	(from https://maantradingacademy.com/lp/)
19:47:09	16328/16328	---M-Z	200	added ('OK')	text/css	etag:%223fc8-656a81b7-b74787601bb2b99a;gz%22	https://maantradingacademy.com/wp-content/plugins/droit-elementor-addons/assets/vendor/reset.min.css?ver=3.1.5	C:/My%20Web%20Sites/156/maantradingacademy.com/wp-content/plugins/droit-elementor-addons/assets/vendor/reset.minc6bd.css	(from https://maantradingacademy.com/lp/)
19:47:09	7439/7439	---M-Z	200	added ('OK')	text/css	etag:%221d0f-656a81b7-61a1ee5842c9907c;gz%22	https://maantradingacademy.com/wp-content/plugins/droit-elementor-addons/assets/vendor/grid.min.css?ver=3.1.5	C:/My%20Web%20Sites/156/maantradingacademy.com/wp-content/plugins/droit-elementor-addons/assets/vendor/grid.minc6bd.css	(from https://maantradingacademy.com/lp/)
19:47:09	6764/6764	---M-Z	200	added ('OK')	text/css	etag:%221a6c-656a81b7-bd93cb643527bb86;gz%22	https://maantradingacademy.com/wp-content/plugins/droit-elementor-addons/assets/vendor/button.min.css?ver=3.1.5	C:/My%20Web%20Sites/156/maantradingacademy.com/wp-content/plugins/droit-elementor-addons/assets/vendor/button.minc6bd.css	(from https://maantradingacademy.com/lp/)
19:47:09	4937/4937	---M-Z	200	added ('OK')	text/css	etag:%221349-656a81b7-a78ed8b57f272b16;gz%22	https://maantradingacademy.com/wp-content/plugins/droit-elementor-addons/assets/vendor/owl_carousel/css/owl.carousel.css?ver=3.1.5	C:/My%20Web%20Sites/156/maantradingacademy.com/wp-content/plugins/droit-elementor-addons/assets/vendor/owl_carousel/css/owl.carouselc6bd.css	(from https://maantradingacademy.com/lp/)
19:47:10	13679/13679	---M-Z	200	added ('OK')	text/css	etag:%22356f-656a81b7-75ce8387dffec3b7;gz%22	https://maantradingacademy.com/wp-content/plugins/droit-elementor-addons/assets/vendor/swiper/swiper.min.css?ver=3.1.5	C:/My%20Web%20Sites/156/maantradingacademy.com/wp-content/plugins/droit-elementor-addons/assets/vendor/swiper/swiper.minc6bd.css	(from https://maantradingacademy.com/lp/)
19:47:10	11256/11256	---M-Z	200	added ('OK')	text/css	etag:%222bf8-64b200ca-7448692466545d81;gz%22	https://maantradingacademy.com/wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css?ver=4.2.17	C:/My%20Web%20Sites/156/maantradingacademy.com/wp-includes/js/mediaelement/mediaelementplayer-legacy.min1f61.css	(from https://maantradingacademy.com/lp/)
19:47:10	4186/4186	---M-Z	200	added ('OK')	text/css	etag:%22105a-64b200ca-b7f718fe32284cca;gz%22	https://maantradingacademy.com/wp-includes/js/mediaelement/wp-mediaelement.min.css?ver=6.4.2	C:/My%20Web%20Sites/156/maantradingacademy.com/wp-includes/js/mediaelement/wp-mediaelement.min1e39.css	(from https://maantradingacademy.com/lp/)
19:47:10	0/0	---M--	200	added ('OK')	text/css	etag:%220-65369a53-7c5cd8a05ccb2458;;;%22	https://maantradingacademy.com/wp-content/plugins/ht-contactform/blocks/src/assets/css/style-index.css?ver=1.2.0	C:/My%20Web%20Sites/156/maantradingacademy.com/wp-content/plugins/ht-contactform/blocks/src/assets/css/style-index7359.css	(from https://maantradingacademy.com/lp/)
19:47:10	2828/2828	---M-Z	200	added ('OK')	text/css	etag:%22b0c-65803c1f-e04678057ce966c0;gz%22	https://maantradingacademy.com/wp-content/plugins/woolentor-addons/woolentor-blocks/src/assets/css/common-style.css?ver=2.7.5	C:/My%20Web%20Sites/156/maantradingacademy.com/wp-content/plugins/woolentor-addons/woolentor-blocks/src/assets/css/common-style206d.css	(from https://maantradingacademy.com/lp/)
19:47:11	21038/21038	---M-Z	200	added ('OK')	text/css	etag:%22522e-65803c1f-39d3a43b6a86da3d;gz%22	https://maantradingacademy.com/wp-content/plugins/woolentor-addons/woolentor-blocks/src/assets/css/style-index.css?ver=2.7.5	C:/My%20Web%20Sites/156/maantradingacademy.com/wp-content/plugins/woolentor-addons/woolentor-blocks/src/assets/css/style-index206d.css	(from https://maantradingacademy.com/lp/)
19:47:11	42449/42449	---M-Z	200	added ('OK')	text/css	etag:%22a5d1-6579d09c-e610b90d91d7ab6a;gz%22	https://maantradingacademy.com/wp-content/plugins/wp-whatsapp/assets/dist/css/style.css?ver=6.4.2	C:/My%20Web%20Sites/156/maantradingacademy.com/wp-content/plugins/wp-whatsapp/assets/dist/css/style1e39.css	(from https://maantradingacademy.com/lp/)
19:47:11	14942/14942	---M-Z	200	added ('OK')	text/css	etag:%223a5e-65671f3b-30a0648f2cee7ce0;gz%22	https://maantradingacademy.com/wp-content/plugins/woocustomizer/assets/css/frontend.css?ver=2.5.4	C:/My%20Web%20Sites/156/maantradingacademy.com/wp-content/plugins/woocustomizer/assets/css/frontend21bb.css	(from https://maantradingacademy.com/lp/)
19:47:11	985/985	---M-Z	200	added ('OK')	text/css	etag:%223d9-64bf4ecb-1014b45083a2ec62;gz%22	https://maantradingacademy.com/wp-content/plugins/blossomthemes-instagram-feed/public/css/blossomthemes-instagram-feed-public.css?ver=2.0.5	C:/My%20Web%20Sites/156/maantradingacademy.com/wp-content/plugins/blossomthemes-instagram-feed/public/css/blossomthemes-instagram-feed-publicc1b4.css	(from https://maantradingacademy.com/lp/)
19:47:12	5895/5895	---M-Z	200	added ('OK')	text/css	etag:%221707-64bf4ecb-4490ad56f7b71ecf;gz%22	https://maantradingacademy.com/wp-content/plugins/blossomthemes-instagram-feed/public/css/magnific-popup.min.css?ver=1.0.0	C:/My%20Web%20Sites/156/maantradingacademy.com/wp-content/plugins/blossomthemes-instagram-feed/public/css/magnific-popup.min8a54.css	(from https://maantradingacademy.com/lp/)
19:47:12	4100/4100	---M-Z	200	added ('OK')	text/css	etag:%221004-64d8366d-4d77d3225392d97;gz%22	https://maantradingacademy.com/wp-content/plugins/borderless/modules/block-editor/contact-information/contact-information-frontend.css?ver=6.4.2	C:/My%20Web%20Sites/156/maantradingacademy.com/wp-content/plugins/borderless/modules/block-editor/contact-information/contact-information-frontend1e39.css	(from https://maantradingacademy.com/lp/)
